age,alive,male,height,weight
79,0,0,153.03,32.205
50,1,1,167,56.756
40,1,0,149.86,52.673
64,1,0,147.96,36.486
32,1,1,159.38,48.846
38.7,0,1,161.93,56.954
26,1,0,155.57,42.099
63,1,1,159.38,50.179
62,1,0,146.69,46.55
22,1,1,172.72,61.802
41,1,1,166.37,48.988
74,1,0,151.76,35.295
41,1,1,156.84,45.643
33,1,0,148.59,43.885
53,1,0,157.48,45.558
37,1,0,147.96,41.163
61,1,0,153.03,45.246
44,1,1,160.66,53.637
35,1,0,149.22,52.305
23,1,0,138.43,39.094
55,1,1,162.56,45.699
53,1,0,149.22,40.398
59,1,1,158.75,51.483
57,1,0,149.86,38.669
35,1,1,158.12,39.236
29,1,0,156.21,44.339
62,1,1,148.59,39.519
51,1,0,154.31,46.777
42,1,1,157.48,50.179
25,1,0,154.31,41.277
41,1,1,168.28,54.6
37,1,0,145.41,44.991
82,1,1,149.22,35.805
28,1,1,154.94,45.217
50,1,1,162.56,48.109
43,1,0,156.84,45.671
31,1,1,161.01,48.421
67,1,0,144.78,41.192
39,1,0,143.51,38.414
48,1,0,149.86,38.243
30,1,1,165.74,48.336
64,1,0,144.15,38.924
72,1,1,157.48,40.029
68,0,0,154.31,50.207
44,1,1,163.83,54.289
43,1,0,156.21,45.6
34,1,0,144.15,39.434
62,0,1,162.56,43.205
44,1,0,146.05,31.865
31,1,1,154.94,45.444
29,1,0,144.78,38.045
62,1,0,146.69,36.089
67,1,0,152.4,40.88
57,1,1,163.83,47.911
32,1,1,165.74,47.712
24,1,0,156.21,46.38
77,0,1,152.4,41.163
62,1,0,140.34,36.599
67,1,1,163.19,48.137
70,1,0,151.13,36.713
37,1,1,171.12,56.557
58,1,0,149.86,38.697
35,1,1,163.83,47.485
30,1,0,141.6,36.202
26,1,0,149.22,41.277
21,1,0,146.05,44.764
41,1,1,161.29,50.434
46,1,1,162.56,55.282
49,1,0,145.41,37.932
28,1,1,170.81,58.457
83,0,0,159.38,44.424
54,1,1,159.4,44.4
54,1,0,153.67,44.565
68,1,1,160.02,44.622
68,1,0,150.5,40.483
56,1,0,149.22,44.083
57,1,0,142.88,34.416
22,1,0,142.11,32.772
40,1,0,147.32,35.947
41,1,1,164.47,53.184
75.9,0,1,160.02,37.081
73.9,0,0,153.67,40.511
49,1,1,167,50.604
26,1,1,151.13,43.97
88,0,1,153.03,49.89
68,0,0,139.06,33.594
33,1,1,152.4,43.857
26,1,0,154.94,48.137
56,1,0,147.96,42.751
34,1,0,144.15,33.906
74,0,1,155.57,39.718
69,0,0,150.5,35.947
50,1,1,155.57,50.916
44,1,0,154.31,45.756
41,1,1,168.91,58.825
27,1,0,150.5,43.46
38,1,1,160.02,51.965
57,1,1,167.64,50.689
64.5,0,0,144.15,34.246
42,1,0,145.41,39.377
24,1,1,160.02,59.562
71,1,1,164.47,52.163
49.5,0,0,153.03,39.973
33,1,1,149.22,43.942
28,1,0,160.02,54.601
47,1,0,149.22,45.076
27,1,0,153.67,41.334
55,1,0,150.5,41.901
83.4,0,1,151.76,42.524
63,1,1,158.12,43.148
52,1,0,149.22,40.823
49,1,1,151.76,42.864
31,1,0,154.94,46.21
35,1,1,161.29,47.854
35,1,0,148.59,42.524
24,1,1,160.66,48.506
41,1,1,157.48,45.869
32,1,1,167,52.9
43,1,1,157.48,47.57
63,0,0,152.4,43.545
21,1,0,152.4,43.431
55,1,0,161.93,53.212
38,1,0,152.4,44.679
28,1,1,159.38,47.202
36,1,0,142.24,31.666
38,1,1,168.91,56.444
48,1,1,160.02,55.792
45,0,1,158.12,47.485
38,1,0,152.4,45.161
21,1,0,155.57,45.529
50,1,0,154.31,48.875
41,1,1,156.84,46.578
30,1,0,156.21,43.885
21,1,1,168.28,56.047
38,1,0,147.96,40.086
31,1,1,160.7,46.3
21,1,1,161.29,49.356
50,1,0,150.5,44.112
39,1,1,163.19,51.029
44,1,1,148.59,40.767
36,1,0,148.59,37.563
36,1,1,161.93,51.596
58,1,0,151.13,43.403
58,1,1,163.83,46.72
33,0,0,153.03,39.548
21.5,0,0,151.76,34.785
26,1,1,156.21,39.292
22,1,0,140.34,37.45
28,1,1,158.75,48.676
42,1,0,142.88,35.607
21,1,1,151.94,43.715
48,1,1,160.99,50.972
46,0,0,144.78,43.998
25,1,1,160.02,48.194
51,1,1,160.99,46.692
25,1,1,165.99,56.416
28,1,1,157.99,48.591
26,1,0,154.94,48.222
54,1,1,160.66,47.485
66,1,0,147.32,35.55
25,1,0,147.32,48.96
38,1,1,173,51.256
51,1,1,158.12,46.522
48,1,0,147.32,36.968
27,1,1,165.99,48.648
22,1,0,149.86,38.045
60,1,1,161.93,47.287
43,1,1,163.83,55.395
27,1,1,160.02,54.204
30,1,1,154.94,48.478
29,1,0,152.4,43.063
23,0,0,146.05,34.189
30,1,0,151.99,49.952
41,1,0,151.76,44.339
42,1,0,144.78,33.452
43,0,1,160.66,47.287
35,1,0,151.13,46.125
75.5,0,1,153.67,47.4
64,1,0,147.32,40.852
38,1,1,139.7,50.349
24.2,0,0,157.48,45.132
26,1,1,154.94,42.241
43,1,1,158.12,45.217
38,1,0,147.32,51.256
23,1,1,160.02,49.271
49,1,1,165.1,51.199
41,1,0,154.94,43.857
23,1,0,153.67,35.522
43,1,0,141.6,42.885
21,1,1,163.83,46.777
24,1,1,161.29,41.872
34,1,1,170.18,53.637
29,1,0,149.86,42.978
65,1,1,160.66,39.774
46,1,0,154.94,43.346
43,1,1,166.37,52.673
39,1,0,148.29,38.442
43,1,0,151.76,42.808
70,1,0,148.59,35.89
26,1,0,153.67,44.225
48,1,0,146.69,38.073
44,1,1,154.94,44.112
33,1,0,156.21,44.027
41,1,1,160.66,47.882
37.4,0,0,146.05,39.406
53,1,1,156.21,41.05
49,1,0,152.4,40.823
27,1,0,162.56,47.032
31,1,0,142.88,34.246
31,1,1,162.56,52.163
21,1,0,156.21,54.062
68,0,1,158.75,52.532
